id,label,rank,x,y,cost,target,province,modern
50455,Syracusae,90,15.295,37.072,0,0,Four,Italy
50456,Portus Pachyni,70,15.137,36.681,0,0,Four,Italy
50458,Amisus,80,36.329,41.304,0,0,Eight,Turkey
50459,Divodurum,70,6.186,49.123,0,0,Two,France
50460,Condate,70,-1.69,48.129,0,0,Two,France
50461,Rotomagus,70,1.097,49.448,0,0,Two,France
50462,Iuliobona,70,0.537,49.525,0,0,Two,France
50463,Iuliobriga,80,-4.112,43,0,0,One,Spain
50464,Portus Blendium,70,-4.043,43.432,0,0,One,Spain
50465,Dessobriga,60,-4.328,42.411,0,0,One,Spain
50466,Lamia,80,22.442,38.902,0,0,Seven,Greece
50467,Naupactus,80,21.831,38.399,0,0,Seven,Greece
50468,Confluentes,70,7.585,50.357,0,0,Two,Germany
50469,Lissus,80,19.663,41.785,0,0,Five,Albania
50470,Salmantica,80,-5.664,40.964,0,0,One,Spain
50471,Segedunum,60,-1.529,54.99,0,0,Three,United Kingdom
50472,Ulpiana,80,21.192,42.598,0,0,Six,Serbia
50473,Maiensis Statio,60,11.169,46.659,0,0,Four,Italy
50474,Portus Magnus,70,-0.266,35.808,0,0,Eleven,Algeria
50476,Colubraria,60,0.685,39.898,0,0,One,Spain
50482,Igilgili,80,5.767,36.822,0,0,Eleven,Algeria
50483,Metagonium Pr.,60,6.467,37.089,0,0,Eleven,Algeria
50485,Galata,60,8.929,37.527,0,0,Eleven,Tunisia
50486,Caralis,80,9.11,39.215,0,0,Four,Italy
50487,Gallicum Fretum,60,9.159,41.387,0,0,Four,France
50489,Ilva,70,10.24,42.743,0,0,Four,Italy
50491,Thaenae,80,10.7,34.67,0,0,Eleven,Tunisia
50492,Meninge,80,10.92,33.68,0,0,Eleven,Tunisia
50493,Mercurii Pr.,60,11.013,37.062,0,0,Eleven,Tunisia
50495,Clipea,70,11.11,36.84,0,0,Eleven,Tunisia
50498,Caput Vada,60,11.16,35.23,0,0,Eleven,Tunisia
50499,Cossyra,70,11.94,36.83,0,0,Eleven,Italy
50501,Maritima,60,12.06,37.97,0,0,Four,Italy
50502,Atria,70,12.055,45.054,0,0,Four,Italy
50504,Brundulum,60,12.31,45.19,0,0,Four,Italy
50505,Lilybaeum,80,12.437,37.798,0,0,Four,Italy
50507,Selinus,90,12.825,37.583,0,0,Four,Italy
50509,Tiliaventum (river),60,13.1,45.64,0,0,Four,Italy
50512,Melita,80,14.4,35.88,0,0,Four,Malta
50513,Camarina,80,14.45,36.85,0,0,Four,Italy
50515,Cephalae Pr.,60,15.21,32.37,0,0,Eleven,Libya
50516,Messana,90,15.557,38.192,0,0,Four,Italy
50518,Titius (river),60,15.86,43.72,0,0,Five,Croatia
50520,Salapia,70,16.02,41.39,0,0,Four,Italy
50521,Heracleum Pr.,60,16.06,37.93,0,0,Four,Italy
50523,Lokroi Epizephyrioi,80,16.26,38.24,0,0,Four,Italy
50524,Lacinium Pr.,60,17.2,39.03,0,0,Four,Italy
50527,Kallipolis-Anxa,70,17.99,40.06,0,0,Four,Italy
50528,Epidaurum,80,18.22,42.58,0,0,Five,Croatia
50529,Sallentinum Pr.,60,18.36,39.8,0,0,Four,Italy
50530,Hydruntum,70,18.49,40.15,0,0,Four,Italy
50531,Automalax,70,19.13,30.25,0,0,Ten,Libya
50533,Acroceraunia Pr.,60,19.32,40.44,0,0,Six,Albania
50534,Aulon,70,19.42,40.51,0,0,Six,Albania
50535,Apollonia (Epirus),90,19.43,40.77,0,0,Six,Albania
50537,Corcyra,80,19.92,39.59,0,0,Six,Greece
50538,Euesperides,80,20.079,32.135,0,0,Ten,Libya
50539,Leucas,80,20.71,38.83,0,0,Six,Greece
50540,Zacynthus,70,20.9,37.78,0,0,Seven,Greece
50541,Ichthys Pr.,60,21.32,37.65,0,0,Seven,Greece
50542,Alpheos (river),60,21.45,37.61,0,0,Seven,Greece
50544,Patrae,90,21.74,38.26,0,0,Seven,Greece
50545,Apollonia-Sozousa,80,21.75,32.93,0,0,Ten,Libya
50546,Akitas Pr.,60,21.88,36.72,0,0,Seven,Greece
50547,Tainaron Pr.,80,22.48,36.39,0,0,Seven,Greece
50548,Gythion,80,22.57,36.76,0,0,Seven,Greece
50549,Corinthus,100,22.886,37.912,0,0,Seven,Greece
50550,Isthmia,90,22.987,37.941,0,0,Seven,Greece
50551,Chersonesos Akra,60,23.12,32.61,0,0,Ten,Libya
50552,Malea Pr.,60,23.2,36.44,0,0,Seven,Greece
50553,Petras Mikros,70,23.45,32.17,0,0,Ten,Libya
50554,Kriou Metopon Pr.,60,23.58,35.27,0,0,Seven,Greece
50555,Chalcis,90,23.59,38.46,0,0,Seven,Greece
50556,Kimaros Pr.,60,23.6,35.63,0,0,Seven,Greece
50557,Sounion Pr.,60,24.03,37.65,0,0,Seven,Greece
50558,Kaudos,70,24.06,34.86,0,0,Seven,Greece
50559,Athos Mons,60,24.22,40.26,0,0,Six,Greece
50562,Geraistos,70,24.55,37.98,0,0,Seven,Greece
50564,Thasos,80,24.71,40.78,0,0,Six,Greece
50567,Kardamis,70,25.04,31.92,0,0,Ten,Libya
50568,Petras Megas,70,25.09,31.75,0,0,Ten,Libya
50569,Hephaistia,70,25.235,39.932,0,0,Six,Greece
50573,Delos,70,25.27,37.4,0,0,Seven,Greece
50577,Chersonasos,80,25.39,35.32,0,0,Seven,Greece
50582,Kadiston Mons,60,25.77,35.34,0,0,Seven,Greece
50586,Tenedos,60,26.051,39.817,0,0,Seven,Turkey
50588,Chios,80,26.14,38.37,0,0,Seven,Greece
50590,Sigeion,70,26.2,40.01,0,0,Seven,Turkey
50592,Mytilene,80,26.31,39.21,0,0,Seven,Greece
50593,Astypaleia,60,26.35,36.55,0,0,Seven,Greece
50594,Sestus,80,26.417,40.228,0,0,Seven,Turkey
50597,Samos,80,26.94,37.69,0,0,Seven,Greece
50598,Trogilion Pr.,60,27.02,37.67,0,0,Seven,Greece
50599,Parium,70,27.069,40.42,0,0,Seven,Turkey
50602,Potidaion,70,27.21,35.51,0,0,Seven,Greece
50603,Myndos,70,27.24,37.08,0,0,Seven,Turkey
50604,Kos,70,27.29,36.89,0,0,Seven,Greece
50606,Cnidus,80,27.37,36.69,0,0,Seven,Turkey
50608,Halicarnassus,80,27.43,37.04,0,0,Seven,Turkey
50609,Proconnesus,60,27.556,40.592,0,0,Six,Turkey
50610,Bargylia,80,27.59,37.19,0,0,Seven,Turkey
50611,Apollonia Pontica,80,27.696,42.417,0,0,Six,Bulgaria
50612,Cyzicus,90,27.892,40.381,0,0,Seven,Turkey
50613,Rhodos,80,28.23,36.44,0,0,Seven,Greece
50614,Caunus,80,28.63,36.83,0,0,Seven,Turkey
50617,Mouth of Pontus,60,29.124,41.212,0,0,Eight,Turkey
50618,Salsovia,70,29.124,45.066,0,0,Six,Romania
50619,Prusias,80,29.156,40.432,0,0,Eight,Turkey
50620,Tyras,80,30.351,46.201,0,0,Twelve,Ukraine
50621,Olbia (Borysthenes),90,31.902,46.692,0,0,Twelve,Ukraine
50622,Akamas Pr.,60,32.28,35.11,0,0,Eight,Eight
50623,Kalos Limen,80,32.703,45.521,0,0,Twelve,Ukraine
50624,Anemurium,60,32.8,36.02,0,0,Eight,Turkey
50625,Amathous,80,33.13,34.71,0,0,Eight,Eight
50626,Karambis Pr.,60,33.37,42.014,0,0,Eight,Turkey
50627,Chersonesos,90,33.493,44.612,0,0,Twelve,Ukraine
50628,Lapethos,80,33.173,35.33,0,0,Eight,Eight
50630,Pedalion Pr.,60,34.08,34.96,0,0,Eight,Eight
50631,Corycus,80,34.15,36.46,0,0,Eight,Turkey
50632,Cinolis,60,34.164,41.963,0,0,Eight,Turkey
50634,Kleides Pr.,60,34.59,35.7,0,0,Eight,Eight
50636,Ioppe,60,34.751,32.055,0,0,Nine,Israel
50637,Apollonia,80,34.816,32.213,0,0,Nine,Israel
50639,Sinope,90,35.042,42.049,0,0,Eight,Turkey
50641,Theodosia,80,35.379,45.046,0,0,Twelve,Ukraine
50642,Pyramos (river),60,35.56,36.57,0,0,Eight,Turkey
50643,Byblos,80,35.64,34.12,0,0,Nine,Lebanon
50644,Myriandros,80,36.19,36.59,0,0,Nine,Turkey
50646,Pantikapaion,90,36.414,45.239,0,0,Twelve,Ukraine
50647,Themiskyra,70,36.968,41.215,0,0,Eight,Turkey
50648,Gorgippia,80,37.31,44.892,0,0,Twelve,Russia
50649,Kotyora,70,37.875,41,0,0,Eight,Turkey
50650,Tanais,80,39.258,47.268,0,0,Twelve,Russia
50651,Dioscurias,90,41.003,42.993,0,0,Twelve,Georgia
50652,Phasis,80,41.667,42.15,0,0,Twelve,Georgia
50654,Raphia,80,34.252,31.289,0,0,Nine,Gaza Strip
50658,Azotus Paralios,80,34.65,31.8,0,0,Nine,Israel
50660,Apollonopolis Magna,80,32.875,24.983,0,0,Ten,Egypt
50661,Krokodilopolis,80,30.839,29.317,0,0,Ten,Egypt
50674,Latopolis,80,32.553,25.295,0,0,Ten,Egypt
50677,Mons Porphyrites,60,33.347,27.208,0,0,Ten,Egypt
50678,Mothis,80,28.949,25.509,0,0,Ten,Egypt
50682,Ammon,80,25.544,29.205,0,0,Ten,Egypt
50690,Oasis Parva,80,28.855,28.338,0,0,Ten,Egypt
50700,Qasr Farafra,60,27.932,27.044,0,0,Ten,Egypt
50713,Malaca,80,-4.422,36.715,0,0,One,Spain
50714,Panormus,90,13.318,38.117,0,0,Four,Italy
50715,Agrigentum,80,13.582,37.309,0,0,Four,Italy
50716,Aleria,80,9.526,42.124,0,0,Four,France
50717,Demetrias,90,22.917,39.303,0,0,Seven,Greece
50718,Amphipolis,90,23.837,40.814,0,0,Six,Greece
50719,Tripolis,90,35.85,34.431,0,0,Nine,Lebanon
50720,Forum Appii,60,13.041,41.437,0,0,Four,Italy
50721,x,6,-8.714,39.21,0,0,One,Portugal
50725,Neapolis (Thrace),80,24.468,40.95,0,0,Six,Greece
50726,x,6,-8.673,39.219,0,0,One,Portugal
50727,x,6,-6.114,38.965,0,0,One,Spain
50730,x,6,-2.811,52.089,0,0,Three,United Kingdom
50731,x,6,19.148,44.288,0,0,Five,Bosnia & Herzegovina
50732,x,6,17.887,43.136,0,0,Five,Bosnia & Herzegovina
50733,x,6,18.365,42.793,0,0,Five,Bosnia & Herzegovina
50735,x,6,22.977,45.584,0,0,Six,Romania
50736,x,6,17.891,45.404,0,0,Five,Croatia
50737,x,6,18.488,45.279,0,0,Five,Croatia
50738,x,6,15.391,46.36,0,0,Five,Slovenia
50739,x,6,30.612,38.33,0,0,Eight,Turkey
50741,Krane,80,20.568,38.224,0,0,Six,Greece
50742,Horreum Margi,70,21.39,43.933,0,0,Six,Serbia
50743,Boiodurum,60,13.454,48.574,0,0,Five,Germany
50744,Toletum,80,-4.024,39.857,0,0,One,Spain
50745,x,6,-7.681,37.942,0,0,One,Portugal
50746,x,6,12.161,45.421,0,0,Four,Italy
50747,x,6,13.128,46.371,0,0,Four,Italy
50748,x,6,19.023,47.438,0,0,Five,Hungary
50749,x,6,19.633,42.011,0,0,Five,Albania
50750,x,6,19.657,41.078,0,0,Six,Albania
50751,x,6,25.86,42.071,0,0,Six,Bulgaria
50752,x,6,7.882,49.958,0,0,Two,Germany
50753,x,6,15.694,44.366,0,0,Five,Croatia
50754,x,6,11.625,44.821,0,0,Four,Italy
50755,Selinous,70,23.685,39.14,0,0,Seven,Greece
50756,Palma,80,2.65,39.567,0,0,One,Spain
50757,x,6,23.499,46.021,0,0,Six,Romania
50758,Samonion Pr.,60,26.254,35.281,0,0,Seven,Greece
50759,Mouth of Witham,6,0.005,52.964,0,0,Three,United Kingdom
50760,x,6,36.11,32.625,0,0,Nine,Nine
50761,Populonium,80,10.496,42.996,0,0,Four,Italy
50762,Palinurus Pr.,60,14.932,40.255,0,0,Four,Italy
50763,x,6,11.644,46.783,0,0,Five,Italy
50764,x,6,9.538,45.13,0,0,Four,Italy
50765,x,6,10.39,43.805,0,0,Four,Italy
50766,x,6,36.323,35.825,0,0,Nine,Nine
50767,x,6,36.344,36.254,0,0,Nine,Turkey
50768,x,6,17.626,47.688,0,0,Five,Hungary
50769,x,6,27.96,44.699,0,0,Six,Romania
50770,x,6,28.551,44.409,0,0,Six,Romania
50771,x,6,36.763,35.274,0,0,Nine,Nine
50772,x,6,9.13,45.024,0,0,Four,Italy
50773,x,6,9.561,45.175,0,0,Four,Italy
50774,x,6,2.024,46.081,0,0,Two,France
50775,Nisyros,70,27.172,36.588,0,0,Seven,Greece
50776,Amorgos,70,25.9,36.83,0,0,Seven,Greece
50777,Anaphe,70,25.854,36.35,0,0,Seven,Greece
50778,Andros,70,24.933,37.833,0,0,Seven,Greece
50779,Ceos,70,24.333,37.617,0,0,Seven,Greece
50780,Corseae,70,26.5,37.566,0,0,Seven,Greece
50781,Cythnos,70,24.416,37.383,0,0,Seven,Greece
50782,Donousa,70,25.8,37.1,0,0,Seven,Greece
50783,Icaros,70,26.059,37.622,0,0,Seven,Greece
50784,Imbros,70,25.844,40.161,0,0,Six,Turkey
50785,Ios,70,25.333,36.717,0,0,Seven,Greece
50787,Kimolos,70,24.55,36.8,0,0,Seven,Greece
50788,Kinaros,70,26.289,36.98,0,0,Seven,Greece
50791,Miletus,70,27.276,37.531,0,0,Seven,Turkey
50793,Naxos,70,25.378,37.103,0,0,Seven,Greece
50795,Patmos,70,26.558,37.316,0,0,Seven,Greece
50796,Skyllaion Pr.,70,23.518,37.438,0,0,Seven,Greece
50797,Siphnos,70,24.667,36.983,0,0,Seven,Greece
50798,Syros,70,24.92,37.43,0,0,Seven,Greece
50799,Telos,70,27.366,36.433,0,0,Seven,Greece
50800,Tenos,70,25.166,37.533,0,0,Seven,Greece
50801,Thera,70,25.433,36.417,0,0,Seven,Greece
51817,x,6,-1.353,53.424,0,0,Three,United Kingdom
51453,x,6,-0.145,51.457,0,0,Three,United Kingdom
51649,x,6,-0.162,52.318,0,0,Three,United Kingdom
51788,x,6,-0.379,52.709,0,0,Three,United Kingdom
51791,x,6,1.462,52.774,0,0,Three,United Kingdom
51783,x,6,0.758,52.713,0,0,Three,United Kingdom
51610,x,6,0.471,51.726,0,0,Three,United Kingdom
51801,x,6,-0.394,53.017,0,0,Three,United Kingdom
51757,x,6,-3.411,52.589,0,0,Three,United Kingdom
51634,x,6,0.862,51.866,0,0,Three,United Kingdom
51763,x,6,0.686,52.691,0,0,Three,United Kingdom
51586,x,6,-2.327,51.418,0,0,Three,United Kingdom
51173,Moridunum,6,-4.332,51.850,0,0,Three,United Kingdom
51373,x,6,-2.058,50.834,0,0,Three,United Kingdom
51830,x,6,-1.913,53.263,0,0,Three,United Kingdom
51670,x,6,-1.764,51.893,0,0,Three,United Kingdom
51172,Ratae,6,-1.137,52.646,0,0,Three,United Kingdom
51942,x,6,-1.827,55.401,0,0,Three,United Kingdom
51735,x,6,0.656,52.310,0,0,Three,United Kingdom
52225,x,6,-4.090,55.841,0,0,Three,United Kingdom
51688,x,6,-1.409,52.083,0,0,Three,United Kingdom
51767,x,6,0.772,52.753,0,0,Three,United Kingdom
51481,x,6,0.573,51.085,0,0,Three,United Kingdom
51920,x,6,-2.944,54.637,0,0,Three,United Kingdom
51927,x,6,-1.607,54.982,0,0,Three,United Kingdom
51799,x,6,-0.507,52.911,0,0,Three,United Kingdom
51170,Durovernum,6,1.055,51.269,0,0,Three,United Kingdom
51671,x,6,-1.888,52.240,0,0,Three,United Kingdom
51893,x,6,-0.753,54.024,0,0,Three,United Kingdom
51685,x,6,0.236,52.145,0,0,Three,United Kingdom
51629,x,6,0.806,51.858,0,0,Three,United Kingdom
51795,x,6,-0.388,52.769,0,0,Three,United Kingdom
51911,x,6,-1.967,54.521,0,0,Three,United Kingdom
51507,x,6,0.569,51.204,0,0,Three,United Kingdom
51940,x,6,-3.431,55.138,0,0,Three,United Kingdom
51839,x,6,-1.943,53.477,0,0,Three,United Kingdom
51699,x,6,-2.690,52.280,0,0,Three,United Kingdom
51648,x,6,0.012,51.886,0,0,Three,United Kingdom
51766,x,6,0.722,52.645,0,0,Three,United Kingdom
51177,Noviomagus,6,-0.785,50.834,0,0,Three,United Kingdom
51811,x,6,-0.383,52.920,0,0,Three,United Kingdom
52210,x,6,-2.003,55.778,0,0,Three,United Kingdom
51829,x,6,-0.561,53.492,0,0,Three,United Kingdom
51567,x,6,-0.163,51.522,0,0,Three,United Kingdom
51175,Venta,6,-2.772,51.608,0,0,Three,United Kingdom
51721,x,6,0.268,52.415,0,0,Three,United Kingdom
51853,x,6,-0.313,53.497,0,0,Three,United Kingdom
51468,x,6,-1.585,50.938,0,0,Three,United Kingdom
51755,x,6,-2.118,52.597,0,0,Three,United Kingdom
51608,x,6,-0.446,51.701,0,0,Three,United Kingdom
51925,x,6,-2.882,54.933,0,0,Three,United Kingdom
52212,x,6,-3.222,55.666,0,0,Three,United Kingdom
51838,x,6,-1.743,53.329,0,0,Three,United Kingdom
51740,x,6,-0.241,52.380,0,0,Three,United Kingdom
51810,x,6,-0.281,52.912,0,0,Three,United Kingdom
51915,x,6,-2.695,54.649,0,0,Three,United Kingdom
51565,x,6,-1.112,51.454,0,0,Three,United Kingdom
51802,x,6,-1.299,52.880,0,0,Three,United Kingdom
51933,x,6,-2.284,54.926,0,0,Three,United Kingdom
51376,x,6,-2.018,50.722,0,0,Three,United Kingdom
51931,x,6,-2.533,54.982,0,0,Three,United Kingdom
51919,x,6,-2.490,54.845,0,0,Three,United Kingdom
51704,x,6,1.076,52.119,0,0,Three,United Kingdom
51857,x,6,-1.872,53.930,0,0,Three,United Kingdom
51667,x,6,0.857,51.963,0,0,Three,United Kingdom
51522,x,6,-1.026,51.134,0,0,Three,United Kingdom
51619,x,6,0.184,52.061,0,0,Three,United Kingdom
51818,x,6,-2.500,53.095,0,0,Three,United Kingdom
51895,x,6,-1.534,54.753,0,0,Three,United Kingdom
51611,x,6,0.715,52.091,0,0,Three,United Kingdom
51624,x,6,0.459,51.796,0,0,Three,United Kingdom
51324,x,6,-2.460,50.629,0,0,Three,United Kingdom
51917,x,6,-1.683,54.662,0,0,Three,United Kingdom
51909,x,6,-2.788,54.733,0,0,Three,United Kingdom
51705,x,6,1.297,52.156,0,0,Three,United Kingdom
51875,x,6,-2.844,53.859,0,0,Three,United Kingdom
51589,x,6,0.068,51.549,0,0,Three,United Kingdom
51316,x,6,-3.685,50.499,0,0,Three,United Kingdom
51403,x,6,-0.170,50.920,0,0,Three,United Kingdom
51384,x,6,-0.798,50.786,0,0,Three,United Kingdom
52211,x,6,-3.662,55.490,0,0,Three,United Kingdom
51509,x,6,0.815,51.117,0,0,Three,United Kingdom
51883,x,6,-0.884,54.002,0,0,Three,United Kingdom
51937,x,6,-1.427,54.999,0,0,Three,United Kingdom
51753,x,6,-2.281,52.559,0,0,Three,United Kingdom
51573,x,6,-1.411,51.431,0,0,Three,United Kingdom
51936,x,6,-1.571,54.928,0,0,Three,United Kingdom
51531,x,6,0.520,51.381,0,0,Three,United Kingdom
51693,x,6,0.844,52.295,0,0,Three,United Kingdom
51638,x,6,-0.233,51.871,0,0,Three,United Kingdom
51487,x,6,-2.526,51.203,0,0,Three,United Kingdom
51715,x,6,0.912,51.893,0,0,Three,United Kingdom
51789,x,6,-0.226,52.751,0,0,Three,United Kingdom
51651,x,6,-2.523,51.907,0,0,Three,United Kingdom
51375,x,6,-2.694,51.009,0,0,Three,United Kingdom
51897,x,6,-0.237,54.090,0,0,Three,United Kingdom
51512,x,6,1.048,51.087,0,0,Three,United Kingdom
51749,x,6,-2.211,52.508,0,0,Three,United Kingdom
51756,x,6,-3.525,52.493,0,0,Three,United Kingdom
51444,x,6,0.026,50.919,0,0,Three,United Kingdom
51748,x,6,-2.158,52.677,0,0,Three,United Kingdom
51882,x,6,-0.711,53.885,0,0,Three,United Kingdom
51392,x,6,-0.031,50.826,0,0,Three,United Kingdom
51659,x,6,-2.653,52.079,0,0,Three,United Kingdom
51729,x,6,-1.826,52.643,0,0,Three,United Kingdom
51859,x,6,-2.550,53.816,0,0,Three,United Kingdom
51679,x,6,-3.886,51.948,0,0,Three,United Kingdom
51764,x,6,-3.431,52.523,0,0,Three,United Kingdom
51514,x,6,0.997,51.090,0,0,Three,United Kingdom
52209,x,6,-3.494,55.680,0,0,Three,United Kingdom
51455,x,6,-0.529,50.950,0,0,Three,United Kingdom
51792,x,6,-1.076,52.762,0,0,Three,United Kingdom
51635,x,6,1.083,51.934,0,0,Three,United Kingdom
51913,x,6,-2.556,54.628,0,0,Three,United Kingdom
51537,x,6,-2.709,51.297,0,0,Three,United Kingdom
51733,x,6,0.873,52.331,0,0,Three,United Kingdom
51675,x,6,-3.402,52.255,0,0,Three,United Kingdom
52229,x,6,-3.207,55.861,0,0,Three,United Kingdom
51719,x,6,1.279,52.385,0,0,Three,United Kingdom
51639,x,6,-0.184,51.971,0,0,Three,United Kingdom
51773,x,6,-1.488,52.933,0,0,Three,United Kingdom
51171,Cironium,6,-1.974,51.715,0,0,Three,United Kingdom
51601,x,6,0.352,51.872,0,0,Three,United Kingdom
51861,x,6,-2.659,53.549,0,0,Three,United Kingdom
51399,x,6,-0.947,51.172,0,0,Three,United Kingdom
51402,x,6,-0.210,50.846,0,0,Three,United Kingdom
51176,Isca,6,-3.523,50.723,0,0,Three,United Kingdom
51903,x,6,-2.586,54.401,0,0,Three,United Kingdom
51596,x,6,-1.165,51.520,0,0,Three,United Kingdom
51503,x,6,-1.163,51.089,0,0,Three,United Kingdom
51386,x,6,-3.017,50.769,0,0,Three,United Kingdom
51469,x,6,-1.358,50.982,0,0,Three,United Kingdom
51617,x,6,-0.984,52.124,0,0,Three,United Kingdom
51742,x,6,-0.524,52.407,0,0,Three,United Kingdom
51518,x,6,-1.809,51.095,0,0,Three,United Kingdom
51405,x,6,-2.190,51.076,0,0,Three,United Kingdom
51865,x,6,-2.817,53.757,0,0,Three,United Kingdom
51877,x,6,-1.273,53.885,0,0,Three,United Kingdom
51587,x,6,-1.164,51.889,0,0,Three,United Kingdom
51837,x,6,-2.586,53.361,0,0,Three,United Kingdom
51807,x,6,-0.549,52.982,0,0,Three,United Kingdom
51393,x,6,-0.062,51.471,0,0,Three,United Kingdom
51815,x,6,-2.457,53.196,0,0,Three,United Kingdom
51470,x,6,-1.374,50.952,0,0,Three,United Kingdom
51941,x,6,-2.263,55.291,0,0,Three,United Kingdom
51687,x,6,0.129,52.225,0,0,Three,United Kingdom
51836,x,6,-2.664,53.305,0,0,Three,United Kingdom
51739,x,6,1.010,52.462,0,0,Three,United Kingdom
51547,x,6,1.273,51.293,0,0,Three,United Kingdom
51669,x,6,1.070,52.133,0,0,Three,United Kingdom
51480,x,6,0.530,51.014,0,0,Three,United Kingdom
51887,x,6,-2.093,54.995,0,0,Three,United Kingdom
51527,x,6,-0.857,51.215,0,0,Three,United Kingdom
51485,x,6,-2.928,51.152,0,0,Three,United Kingdom
51760,x,6,-1.494,52.561,0,0,Three,United Kingdom
51821,x,6,-2.458,53.266,0,0,Three,United Kingdom
51904,x,6,-2.740,54.334,0,0,Three,United Kingdom
51577,x,6,-0.082,51.521,0,0,Three,United Kingdom
51532,x,6,0.952,51.209,0,0,Three,United Kingdom
51628,x,6,0.717,51.851,0,0,Three,United Kingdom
51825,x,6,-3.012,53.301,0,0,Three,United Kingdom
51686,x,6,0.451,52.086,0,0,Three,United Kingdom
51690,x,6,0.601,52.091,0,0,Three,United Kingdom
51554,x,6,-2.323,51.327,0,0,Three,United Kingdom
51758,x,6,-0.369,52.562,0,0,Three,United Kingdom
51708,x,6,-0.038,52.126,0,0,Three,United Kingdom
51855,x,6,-1.050,53.958,0,0,Three,United Kingdom
51785,x,6,0.495,52.948,0,0,Three,United Kingdom
51678,x,6,-3.457,51.954,0,0,Three,United Kingdom
51910,x,6,-1.671,54.443,0,0,Three,United Kingdom
51926,x,6,-1.584,54.806,0,0,Three,United Kingdom
51620,x,6,-0.504,51.754,0,0,Three,United Kingdom
51939,x,6,-2.000,55.059,0,0,Three,United Kingdom
51862,x,6,-0.564,53.673,0,0,Three,United Kingdom
